Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	completeness	diversification	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	turnover
0	-1066.496	-894.7265	-171.7699	597591.8	0.3808777	0.05808646	0.09666856	1.241948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.52662	0.07658919	0.998356	0.99958	1.00042	1.00164	1.338617	8.3	6.7	6.3	6.3	2.8	4.3	1.1	7.2	5.2	6.3	5.2	2.8	1.1	1.1	2.3	5.5	6.3	6.7	2.8	2.3	2.8	2.8	2.8	2.3	2.3	2.8	0.9277848
10	-757.6559	-598.6501	-159.0058	881172.5	0.06611409	0.2225805	0.002910865	0.7785279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.52623	0.2228979	0.998646	0.999654	1.00035	1.00135	0.7814388	8.3	6.7	6.3	6.3	2.8	4.3	1.1	7.2	5.2	6.3	5.2	2.8	1.1	1.78262	2.60813	5.5	6.3	6.7	2.8	2.3	2.8	2.8	3.04817	2.38878	2.3	2.8	0.996275
20	-737.8165	-580.2258	-157.5908	744418.9	0.07566543	0.08098863	0.1628337	1.503207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.53597	0.1324713	0.998527	0.999623	1.00038	1.00147	1.66604	8.3	6.7	6.3	6.3	2.8	4.3	1.1	7.2	5.92869	6.3	5.2	2.8	2.22352	1.87922	2.60813	5.5	6.3	6.7	2.85813	2.35148	3.24383	2.8	3.16599	2.9289	2.3	2.8	0.902263
30	-727.825	-570.2336	-157.5914	465073.2	0.06624823	0.237615	0.06296511	0.6229596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.35209	0.1941599	0.998137	0.999523	1.00048	1.00186	0.6859247	8.3	6.7	6.3	6.3	2.8	4.3	1.80512	7.2	5.92869	6.3	5.2	2.8	2.65802	1.9251	2.60813	5.5	6.3	6.7	2.85813	2.46369	3.24383	3.30663	3.16599	2.91961	2.3	4.36832	0.9082041
40	-732.5698	-573.8098	-158.76	749843.1	0.05754558	0.1580699	0.08261305	1.034602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.981967	0.1942435	0.998532	0.999625	1.00037	1.00147	1.117215	8.3	6.7	6.3	6.3	2.8	4.3	1.28934	7.2	5.92869	6.3	5.2	2.8	2.65802	1.77355	2.60813	5.97921	6.3	6.7	2.95594	2.34756	3.24383	3.31996	3.16599	3.39416	2.3	4.36832	0.9260545
50	-710.1969	-560.6371	-149.5598	788117.6	0.07130958	0.198188	0.0003208015	1.011759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.88404	0.2500816	0.998569	0.999634	1.00037	1.00143	1.01208	8.3	6.7	6.3	6.40731	4.14859	4.3	1.53007	7.2	5.92869	6.3	5.2	3.92337	2.44152	1.77355	2.60813	5.97921	6.54072	6.7	2.95594	2.34756	3.24383	3.31996	2.95717	3.39416	2.3	4.36832	0.999683
60	-726.9457	-568.712	-158.2337	944251.3	0.06877322	0.09487894	-0.06271056	1.383491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.88865	0.1450239	0.998692	0.999666	1.00033	1.00131	1.32078	8.3	6.7	6.3	6.40731	4.14859	4.3	2.11535	7.2	5.92869	6.3	5.2	3.38846	1.46281	1.77355	2.60813	5.97921	6.54072	6.7	2.95594	2.34756	3.24383	3.31996	2.95717	3.82344	2.3	4.36832	1.04748
70	-712.2057	-563.5258	-148.6798	641487.3	0.0818719	0.1626055	0.1071805	1.188474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.77798	0.2307782	0.998413	0.999594	1.0004	1.00159	1.295655	8.3	6.7	6.3	6.40731	4.14859	4.3	1.24982	7.2	5.92869	6.3	5.2	3.38846	2.70675	1.77355	2.6293	5.97921	6.54072	6.7	2.95594	2.34756	3.24383	3.31996	2.95717	3.11884	2.3	4.36832	0.917277
80	-707.6044	-563.3068	-144.2976	445893.9	0.08945772	0.1125248	0.128027	1.752846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.46172	0.222247	0.998097	0.999513	1.00049	1.0019	1.880873	8.3	6.7	6.3	6.40731	4.14859	4.3	1.24982	7.2	5.92869	6.3	5.64899	3.38846	1.39448	1.64916	3.09019	5.97921	6.54072	7.16998	2.95594	2.73397	3.24383	3.31996	2.95717	3.40915	3.37186	4.83291	0.9319321
90	-703.066	-568.418	-134.6479	445893.9	0.08945772	0.1682416	0.05018954	1.298852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.33822	0.2627217	0.998097	0.999513	1.00049	1.0019	1.349042	8.3	6.7	6.3	6.40731	4.14859	4.3	1.24982	7.2	5.92869	6.3	5.64899	3.38846	2.11601	1.42083	3.09019	5.97921	6.54072	7.16998	2.95594	2.73397	2.91249	3.31996	2.95717	3.39369	3.37186	4.83291	0.9627962
