taxon	min	max
10	0.015264302505723207	0.015264302505723207
28	0.17293127257292976	0.17293127257292976
34	0.06763341010465544	0.06763341010465544
35	0.022364923891746248	0.022364923891746248
53	3.8988143524804926	3.8988143524804926
61	2.2169829212284746	2.2169829212284746
93	2.8786430628772406	2.8786430628772406
108	3.8318054644682045	3.8318054644682045
126	0.07712452689791194	0.07712452689791194
127	2.5876681308227356	2.5876681308227356
136	5.027689181156073	5.027689181156073
1	0.048614730024615194	0.048614730024615194
2	2.48061120436463	2.48061120436463
118	0.506322670075466	0.506322670075466
6	1.5622189576181416	1.5622189576181416
8	0.23457379795979993	0.23457379795979993
11	1.1292663659963513	1.1292663659963513
13	0.397605337192318	0.397605337192318
147	3.3737486001614068	3.3737486001614068
148	2.7361409785174793	2.7361409785174793
15	0.8905136279874407	0.8905136279874407
139	1.4156964568804236	1.4156964568804236
18	1.1175757430725544	1.1175757430725544
19	1.0780821883057292	1.0780821883057292
20	4.401968702246934	4.401968702246934
84	3.3472785059437045	3.3472785059437045
85	1.1160973858101233	1.1160973858101233
24	0.07529321557940337	0.07529321557940337
25	3.9175656231947342	3.9175656231947342
110	3.32374239850183	3.32374239850183
111	2.133375343008033	2.133375343008033
26	0.5279391413058567	0.5279391413058567
29	0.41340422061965065	0.41340422061965065
89	1.003539169473144	1.003539169473144
97	0.24034873454040134	0.24034873454040134
87	0.9815829748125133	0.9815829748125133
33	0.8215518043495941	0.8215518043495941
86	2.483784811167484	2.483784811167484
37	0.5720442812950307	0.5720442812950307
38	3.15855458976238	3.15855458976238
39	5.360558336521148	5.360558336521148
140	0.8778209986433915	0.8778209986433915
40	0.4717967210874941	0.4717967210874941
104	5.46955240851409	5.46955240851409
105	1.2806610576521567	1.2806610576521567
41	0.8061958699883236	0.8061958699883236
42	0.5070577651287063	0.5070577651287063
44	0.029696355048418912	0.029696355048418912
45	0.03470447027853206	0.03470447027853206
46	1.0710010865169117	1.0710010865169117
47	1.6905692906531287	1.6905692906531287
48	3.2001278843197203	3.2001278843197203
49	0.2760442422586117	0.2760442422586117
50	1.8475709192368555	1.8475709192368555
52	1.87776179553292	1.87776179553292
131	2.872605292798509	2.872605292798509
55	2.5750645292911094	2.5750645292911094
114	3.9136011873649448	3.9136011873649448
59	2.524705132652268	2.524705132652268
62	4.677852908736101	4.677852908736101
63	6.574166496649189	6.574166496649189
92	1.9273207802942762	1.9273207802942762
75	1.2286627621729838	1.2286627621729838
79	8.468076960661632	8.468076960661632
95	3.942123095127835	3.942123095127835
96	1.9024136689758382	1.9024136689758382
98	4.377251260763408	4.377251260763408
99	2.794759872881664	2.794759872881664
106	5.786232768643369	5.786232768643369
107	4.802712510427527	4.802712510427527
109	4.891699867904752	4.891699867904752
113	0.53547923262093	0.53547923262093
115	8.207391682757887	8.207391682757887
117	4.771835558718633	4.771835558718633
121	3.665588492239402	3.665588492239402
125	1.5350822910555013	1.5350822910555013
129	0.6006110903436401	0.6006110903436401
132	11.361847334436515	11.361847334436515
133	8.8920147471211	8.8920147471211
137	4.909836844408214	4.909836844408214
138	4.435784891736311	4.435784891736311
141	2.8786092392006477	2.8786092392006477
142	3.7423631307694034	3.7423631307694034
143	5.881138866961697	5.881138866961697
144	5.284507397365717	5.284507397365717
146	4.4020072852863095	4.4020072852863095
150	1.1257797307529585	1.1257797307529585
t97_1	0	0
t54_1	0	0
t118_2	0	0
t50_1	0	0
t129_1	0	0
t148_1	0	0
t74_1	0	0
t144_1	0	0
t7_1	0	0
t79_1	0	0
t52_1	0	0
t29_1	0	0
t13_1	0	0
t124_1	0	0
t64_1	0	0
t22_1	0	0
t105_1	0	0
t45_1	0	0
t117_1	0	0
t28_1	0	0
t44_1	0	0
t72_1	0	0
t3_1	0	0
t130_1	0	0
t156_1	0	0
t116_1	0	0
t155_1	0	0
t135_1	0	0
t84_1	0	0
t126_1	0	0
t20_3	0	0
t138_1	0	0
t98_1	0	0
t80_1	0	0
t62_1	0	0
t43_1	0	0
t61_1	0	0
t152_1	0	0
t85_1	0	0
t111_1	0	0
t36_1	0	0
t87_1	0	0
t66_1	0	0
t76_1	0	0
t9_1	0	0
t58_1	0	0
t102_1	0	0
t65_1	0	0
t151_1	0	0
t40_1	0	0
t118_1	0	0
t119_1	0	0
t99_1	0	0
t83_1	0	0
t41_1	0	0
t20_1	0	0
t20_2	0	0
t95_1	0	0
t59_1	0	0
t70_1	0	0
t4_1	0	0
t73_1	0	0
t154_1	0	0
t160_1	0	0
t160_2	0	0
t167_1	0	0
t175_1	0	0
t198_1	0	0
t215_1	0	0
t230_1	0	0
t236_1	0	0
t237_1	0	0
t241_1	0	0
t278_1	0	0
t298_1	0	0
t309_1	0	0
